county,lat,long
Atlantic,39.5333,-74.6869
Bergen,40.9263,-74.077
Burlington,39.8558,-74.6869
Camden,39.8592,-75.0144
Cape May,39.1059,-74.8273
Cumberland,39.2587,-75.0611
Essex,40.7947,-74.2649
Gloucester,39.7103,-75.1078
Hudson,40.7453,-74.0535
Hunterdon,40.567,-74.9209
Mercer,40.3029,-74.7337
Monmouth,40.2589,-74.124
Ocean,39.9653,-74.3118
Passaic,41.1232,-74.3587
Salem,39.5849,-75.3879
Somerset,40.5292,-74.64
Sussex,41.1288,-74.6869
Union,40.6595,-74.2884
Warren,40.8842,-74.9209
Morris,40.8336,-74.5463
Middlesex,40.4111,-74.3587
